Product Name,Version,Module Name,Description,Preconditions,Test Steps,Expected Results
Test Management System,V1.0,Login,Verify that the login page loads correctly with all elements.,1. User is not logged in. <br> 2. Browser is open and navigated to the login page.,1. Open the login page.,"1. The login page should load with the animation, email/mobile field, password field, and login button."
Test Management System,V1.0,Login,Validate the login form with valid credentials.,1. User is not logged in. <br> 2. Valid credentials are available.,"1. Enter a valid email/mobile number. <br> 2. Enter a valid password. <br> 3. Click ""Login"".",1. The user should be redirected to `home.php`. <br> 2. Session should be created.
Test Management System,V1.0,Login,Validate the login form with invalid email/mobile format.,1. User is not logged in. <br> 2. Invalid email/mobile format is available.,"1. Enter an invalid email/mobile number. <br> 2. Enter any password. <br> 3. Click ""Login"".","1. An alert should appear: ""Please enter a valid email or mobile number."""
Test Management System,V1.0,Login,Validate the login form with a password less than 6 characters.,1. User is not logged in. <br> 2. Valid email/mobile is available.,"1. Enter a valid email/mobile number. <br> 2. Enter a password with less than 6 characters. <br> 3. Click ""Login"".","1. An alert should appear: ""Password must be at least 6 characters long."""
Test Management System,V1.0,Login,Validate the login form with incorrect credentials.,1. User is not logged in. <br> 2. Incorrect credentials are available.,"1. Enter an incorrect email/mobile number. <br> 2. Enter an incorrect password. <br> 3. Click ""Login"".","1. An error message should be displayed: ""Invalid credentials."""
Test Management System,V1.0,Login,"Verify the """"Forgot Password"""" link functionality.",1. User is not logged in. <br> 2. Browser is open and navigated to the login page.,"1. Click the ""Forgot Password"" link.",1. The user should be redirected to `forgot_password.php`.
Test Management System,V1.0,Login,Verify that the session is regenerated upon successful login.,1. User is not logged in. <br> 2. Valid credentials are available.,"1. Enter valid credentials. <br> 2. Click ""Login"".",1. The session ID should be regenerated. <br> 2. Session fixation should be prevented.
Test Management System,V1.0,Login,Verify the responsiveness of the login page on different screen sizes.,1. User is not logged in. <br> 2. Browser is open and navigated to the login page.,1. Open the login page on a desktop. <br> 2. Resize the browser to mobile size.,"1. On desktop, the animation and login form should be side by side. <br> 2. On mobile, the animation should be on top, and the login form below."
Test Management System,V1.0,Login,Verify that the Lottie animation loads correctly.,1. User is not logged in. <br> 2. Browser is open and navigated to the login page.,1. Open the login page.,1. The Lottie animation should load and play automatically.
Test Management System,V1.0,Login,Verify that the login page prevents access if the user is already logged in.,1. User is already logged in.,1. Navigate to the login page.,1. The user should be redirected to `home.php`.
Test Management System,V1.0,Authentication,Verify login with valid email and correct password.,1. User is not logged in.,1. Enter a valid email.,1. The user should be redirected to home.php.
,,,,2. Valid email and password are available.,2. Enter the correct password.,2. Session should be created.
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with valid mobile number and correct password.,1. User is not logged in.,1. Enter a valid mobile number.,1. The user should be redirected to home.php.
,,,,2. Valid mobile number and password are available.,2. Enter the correct password.,2. Session should be created.
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with valid email and incorrect password.,1. User is not logged in.,1. Enter a valid email.,"1. An error message should be displayed: ""Invalid email/mobile or password."""
,,,,2. Valid email and incorrect password are available.,2. Enter an incorrect password.,
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with valid mobile number and incorrect password.,1. User is not logged in.,1. Enter a valid mobile number.,"1. An error message should be displayed: ""Invalid email/mobile or password."""
,,,,2. Valid mobile number and incorrect password are available.,2. Enter an incorrect password.,
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with invalid email format.,1. User is not logged in.,1. Enter an invalid email.,"1. An error message should be displayed: ""Invalid email or mobile number format."""
,,,,2. Invalid email format is available.,2. Enter any password.,
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with invalid mobile number format.,1. User is not logged in.,1. Enter an invalid mobile number.,"1. An error message should be displayed: ""Invalid email or mobile number format."""
,,,,2. Invalid mobile number format is available.,2. Enter any password.,
,,,,,3. Submit the form.,
Test Management System,V1.0,Authentication,Verify login with empty email/mobile field.,1. User is not logged in.,1. Leave the email/mobile field empty.,"1. An error message should be displayed: ""Email/Mobile and Password are required."""
,,,,,2. Enter any password.,
,,,,,3. Submit the form.,
